x,y
34059.157821666,1.342076171
34138.735293212,1.34323117
34218.312764758,1.344382495
34297.890236303,1.345530164
34377.467707849,1.346674193
34457.045179395,1.347814599
34536.622650941,1.3489514
34616.200122487,1.350084612
34695.777594033,1.351214251
34775.355065579,1.352340336
34854.932537125,1.353462881
34934.510008671,1.354581904
35014.087480217,1.355697421
35093.664951763,1.356809448
35173.242423309,1.357918001
35252.819894855,1.359023096
35332.397366401,1.360124749
35411.974837947,1.361222977
35491.552309493,1.362317794
35571.129781039,1.363409217
35650.707252585,1.364497261
35730.284724131,1.365581941
35809.862195676,1.366663273
35889.439667222,1.367741273
35969.017138768,1.368815954
36048.594610314,1.369887333
36128.17208186,1.370955424
36207.749553406,1.372020243
36287.327024952,1.373081804
36366.904496498,1.374140122
36446.481968044,1.375195211
36526.05943959,1.376247087
